movie_id,title,year,genre,country,tomatometer,audience_score,critics_consensus
100027,Whispers in the Wind (2002),2004,Action,Canada,28,20,Better left for late-night cable TV.
100028,Last Train to Paris (2003),2013,Animation,Germany,20,14,Visually dull and narratively confusing.
100029,Cosmic Drift (2004),2021,Horror,UK,39,35,A disappointing mess that fails to find its footing.
100030,The Urban Jungle: The Beginning,2012,Sci-Fi,Spain,94,100,A modern classic that redefines its genre.
100031,Sapphire Seas 2,2012,Comedy,Germany,73,83,A well-crafted experience that mostly lands.
100032,Return of Midnight in Kyoto,2024,Comedy,Japan,28,22,Better left for late-night cable TV.
100033,The Legend of Last Train to Paris,2019,Drama,France,43,31,Visually dull and narratively confusing.
100034,Escape from The Urban Jungle,2022,Romance,UK,76,69,"Enjoyable, though slightly predictable at times."
100035,The Urban Jungle (2010),2010,Fantasy,Australia,30,27,Better left for late-night cable TV.
100036,Velocity Zero (2011),2006,Thriller,UK,25,25,Visually dull and narratively confusing.
100037,Eternal Sands (2012),2007,Fantasy,Germany,13,5,A disappointing mess that fails to find its footing.
100038,Beyond the Clouds (2013),2010,Romance,USA,94,88,A modern classic that redefines its genre.
100039,Sapphire Seas (2014),2018,Comedy,UK,14,5,Better left for late-night cable TV.
100040,The Ghost Ship: The Beginning,2019,Horror,USA,90,91,A modern classic that redefines its genre.
100041,Cyber City 2077 2,2022,Sci-Fi,Germany,61,63,Ambitious but struggles with pacing.
100042,Return of Modern Warfare: The Silent Movie,2018,Romance,USA,62,64,Ambitious but struggles with pacing.
100043,The Legend of Diamond Dust,2014,Drama,UK,68,60,Ambitious but struggles with pacing.
100044,Escape from Ruby Red Skies,2018,Thriller,Germany,87,87,Solid performances and a compelling narrative.
100045,Eternal Sands (2020),2011,Romance,Japan,54,54,Passable entertainment for fans of the genre.
100046,The Digital Frontier (2021),2010,Sci-Fi,USA,82,83,"Enjoyable, though slightly predictable at times."
100047,Quantum Leap (2022),2000,Thriller,France,37,47,Better left for late-night cable TV.
100048,Hidden Truths (2023),2017,Thriller,France,27,40,Visually dull and narratively confusing.
100049,Quantum Leap (2024),2002,Romance,France,31,42,Visually dull and narratively confusing.
100050,Platinum Soul: The Beginning,2011,Documentary,South Korea,18,11,Better left for late-night cable TV.
100051,Hidden Truths 2,2013,Documentary,Spain,20,15,Visually dull and narratively confusing.
100052,Return of Cosmic Drift,2006,Fantasy,Australia,92,100,A modern classic that redefines its genre.
100053,The Legend of Velocity Zero,2010,Action,India,42,41,Visually dull and narratively confusing.
100054,Escape from The Pearl Diver,2011,Comedy,Germany,37,33,Better left for late-night cable TV.
100055,Hidden Truths (2005),2019,Animation,Japan,22,34,A disappointing mess that fails to find its footing.
100056,Golden Empire (2006),2007,Comedy,India,42,52,A disappointing mess that fails to find its footing.
100057,The Pearl Diver (2007),2022,Thriller,Spain,61,76,Ambitious but struggles with pacing.
100058,The Pearl Diver (2008),2021,Animation,UK,67,55,Passable entertainment for fans of the genre.
100059,The Ghost Ship (2009),2013,Sci-Fi,Japan,21,29,Visually dull and narratively confusing.
100060,Quantum Leap: The Beginning,2016,Animation,Spain,42,32,Visually dull and narratively confusing.
100061,Desert Rose 2,2005,Action,India,32,38,Better left for late-night cable TV.
100062,Return of Last Train to Paris,2020,Drama,South Korea,30,23,Visually dull and narratively confusing.
100063,The Legend of Quantum Leap,2024,Animation,Germany,69,58,Ambitious but struggles with pacing.
100064,Escape from Diamond Dust,2023,Comedy,USA,16,15,Visually dull and narratively confusing.
100065,Cosmic Drift (2015),2022,Drama,USA,59,53,Passable entertainment for fans of the genre.
100066,The Diamond Heist (2016),2000,Action,Canada,10,5,Visually dull and narratively confusing.
100067,The Digital Frontier (2017),2016,Thriller,USA,78,78,"Enjoyable, though slightly predictable at times."
100068,Starship Avalon (2018),2023,Action,Japan,58,66,A decent effort with some flashes of brilliance.
100069,Quantum Leap (2019),2015,Action,Australia,31,25,Visually dull and narratively confusing.
100070,Hidden Truths: The Beginning,2004,Romance,France,51,36,Ambitious but struggles with pacing.
100071,Mountain Peak High 2,2022,Action,Japan,87,98,A well-crafted experience that mostly lands.
100072,Return of Arctic Chill,2002,Horror,Japan,22,27,Visually dull and narratively confusing.
100073,The Legend of The Ghost Ship,2017,Animation,South Korea,36,25,A disappointing mess that fails to find its footing.
100074,Escape from Golden Empire,2017,Animation,USA,73,70,"Enjoyable, though slightly predictable at times."
100075,Neon Pulse (2000),2009,Action,Spain,85,71,"Enjoyable, though slightly predictable at times."
100076,Iron Heart (2001),2022,Thriller,South Korea,98,86,Visually stunning and emotionally gripping.
100077,Cosmic Drift (2002),2021,Animation,Canada,98,100,Visually stunning and emotionally gripping.
100078,Under the Moonlight (2003),2014,Documentary,Spain,46,35,Visually dull and narratively confusing.
100079,Forgotten Memories (2004),2003,Romance,Spain,36,40,Better left for late-night cable TV.
100080,Cosmic Drift: The Beginning,2020,Drama,India,70,75,Solid performances and a compelling narrative.
100081,Modern Warfare: The Silent Movie 2,2019,Documentary,Spain,77,71,"Enjoyable, though slightly predictable at times."
100082,Return of Arctic Chill,2021,Romance,Australia,91,89,A modern classic that redefines its genre.
100083,The Legend of Island Paradise Lost,2021,Romance,India,72,72,A well-crafted experience that mostly lands.
100084,Escape from The Pearl Diver,2011,Horror,Australia,56,55,Ambitious but struggles with pacing.
100085,The Pearl Diver (2010),2007,Horror,Canada,18,21,Better left for late-night cable TV.
100086,Forgotten Memories (2011),2009,Drama,USA,94,100,Visually stunning and emotionally gripping.
100087,Midnight in Kyoto (2012),2017,Horror,Spain,47,61,A disappointing mess that fails to find its footing.
100088,Modern Warfare: The Silent Movie (2013),2002,Sci-Fi,Japan,46,50,Visually dull and narratively confusing.
100089,Sapphire Seas (2014),2005,Fantasy,Canada,67,81,A decent effort with some flashes of brilliance.
100090,The Diamond Heist: The Beginning,2011,Comedy,USA,95,95,A masterclass in filmmaking that resonates deeply.
100091,The Great Gatsby V2 2,2000,Fantasy,South Korea,97,84,A masterclass in filmmaking that resonates deeply.
100092,Return of Iron Heart,2002,Comedy,Japan,41,32,Better left for late-night cable TV.
100093,The Legend of Platinum Soul,2005,Sci-Fi,Canada,56,63,A decent effort with some flashes of brilliance.
100094,Escape from Mountain Peak High,2012,Action,France,41,50,Better left for late-night cable TV.
100095,Mountain Peak High (2020),2008,Thriller,South Korea,48,53,A disappointing mess that fails to find its footing.
100096,Mountain Peak High (2021),2002,Animation,UK,32,22,Visually dull and narratively confusing.
100097,Diamond Dust (2022),2019,Thriller,South Korea,88,91,A well-crafted experience that mostly lands.
100098,Last Train to Paris (2023),2012,Comedy,India,86,71,Solid performances and a compelling narrative.
100099,The Ghost Ship (2024),2017,Romance,USA,37,41,A disappointing mess that fails to find its footing.
100100,The Last Samurai Rising: The Beginning,2004,Fantasy,UK,74,78,"Enjoyable, though slightly predictable at times."
100101,Neon Pulse 2,2013,Thriller,Spain,91,95,A masterclass in filmmaking that resonates deeply.
100102,Return of Silicon Valley Dreams,2018,Drama,UK,68,70,Ambitious but struggles with pacing.
100103,The Legend of Under the Moonlight,2006,Comedy,UK,63,54,A decent effort with some flashes of brilliance.
100104,Escape from Golden Empire,2018,Comedy,Spain,25,27,Visually dull and narratively confusing.
100105,Desert Rose (2005),2017,Sci-Fi,India,26,11,Visually dull and narratively confusing.
100106,The Great Gatsby V2 (2006),2008,Sci-Fi,UK,10,5,Visually dull and narratively confusing.
100107,Whispers in the Wind (2007),2015,Comedy,Germany,71,70,Solid performances and a compelling narrative.
100108,Silicon Valley Dreams (2008),2018,Documentary,Germany,21,28,Better left for late-night cable TV.
100109,Cyber City 2077 (2009),2005,Comedy,Japan,71,59,"Enjoyable, though slightly predictable at times."
100110,The Urban Jungle: The Beginning,2012,Action,Germany,47,35,Visually dull and narratively confusing.
100111,The Emerald Gate 2,2016,Animation,UK,79,85,"Enjoyable, though slightly predictable at times."
100112,Return of Desert Rose,2022,Horror,Japan,68,77,Passable entertainment for fans of the genre.
100113,The Legend of Forgotten Memories,2011,Sci-Fi,Canada,47,52,A disappointing mess that fails to find its footing.
100114,Escape from Silver Bullet,2024,Sci-Fi,Canada,65,80,Passable entertainment for fans of the genre.
100115,The Ghost Ship (2015),2013,Sci-Fi,Japan,79,77,Solid performances and a compelling narrative.
100116,Island Paradise Lost (2016),2003,Romance,Spain,24,22,Visually dull and narratively confusing.
100117,The Last Samurai Rising (2017),2020,Action,South Korea,46,53,Better left for late-night cable TV.
100118,Parallel Worlds (2018),2015,Sci-Fi,South Korea,41,50,Better left for late-night cable TV.
100119,The Last Samurai Rising (2019),2001,Action,USA,96,89,Visually stunning and emotionally gripping.
100120,Shadow of the Colossus: The Beginning,2011,Horror,Japan,42,40,Better left for late-night cable TV.
100121,Hidden Truths 2,2018,Drama,France,31,24,A disappointing mess that fails to find its footing.
100122,Return of The Digital Frontier,2009,Fantasy,South Korea,41,46,Better left for late-night cable TV.
100123,The Legend of Bronze Age Chronicles,2022,Comedy,Canada,79,83,A well-crafted experience that mostly lands.
100124,Escape from The Pearl Diver,2016,Comedy,India,26,23,A disappointing mess that fails to find its footing.
100125,The Digital Frontier (2000),2011,Drama,UK,24,38,A disappointing mess that fails to find its footing.
100126,The Ghost Ship (2001),2015,Action,Spain,32,42,Visually dull and narratively confusing.
100127,Hidden Truths (2002),2001,Thriller,Germany,25,17,Better left for late-night cable TV.
100128,Iron Heart (2003),2022,Fantasy,USA,47,51,Visually dull and narratively confusing.
100129,Under the Moonlight (2004),2007,Fantasy,Spain,77,91,Solid performances and a compelling narrative.
100130,Forgotten Memories: The Beginning,2007,Drama,South Korea,34,32,A disappointing mess that fails to find its footing.
100131,Desert Rose 2,2021,Comedy,Germany,34,43,A disappointing mess that fails to find its footing.
100132,Return of Hidden Truths,2012,Sci-Fi,UK,15,5,Better left for late-night cable TV.
100133,The Legend of The Diamond Heist,2013,Animation,Spain,72,59,"Enjoyable, though slightly predictable at times."
100134,Escape from Cyber City 2077,2022,Documentary,France,75,88,"Enjoyable, though slightly predictable at times."
100135,Quantum Leap (2010),2006,Comedy,Japan,60,47,Passable entertainment for fans of the genre.
100136,Cosmic Drift (2011),2013,Documentary,USA,93,100,A modern classic that redefines its genre.
100137,Mountain Peak High (2012),2020,Animation,UK,62,77,Passable entertainment for fans of the genre.
100138,The Pearl Diver (2013),2012,Comedy,South Korea,70,76,Solid performances and a compelling narrative.
100139,Beyond the Clouds (2014),2020,Thriller,Australia,22,27,Visually dull and narratively confusing.
100140,The Urban Jungle: The Beginning,2016,Sci-Fi,UK,11,24,Better left for late-night cable TV.
100141,Modern Warfare: The Silent Movie 2,2015,Drama,Japan,96,100,Visually stunning and emotionally gripping.
100142,Return of Beyond the Clouds,2010,Comedy,France,61,68,Ambitious but struggles with pacing.
100143,The Legend of Diamond Dust,2021,Fantasy,South Korea,96,86,Visually stunning and emotionally gripping.
100144,Escape from Shadow of the Colossus,2012,Sci-Fi,France,81,68,"Enjoyable, though slightly predictable at times."
100145,Platinum Soul (2020),2024,Horror,Germany,64,67,Passable entertainment for fans of the genre.
100146,Mountain Peak High (2021),2004,Romance,South Korea,90,93,A modern classic that redefines its genre.
100147,Silicon Valley Dreams (2022),2021,Action,Canada,29,25,Visually dull and narratively confusing.
100148,Ancient Riddles (2023),2002,Thriller,South Korea,35,41,A disappointing mess that fails to find its footing.
100149,Golden Empire (2024),2001,Action,USA,57,57,Ambitious but struggles with pacing.
100150,Parallel Worlds: The Beginning,2004,Fantasy,South Korea,22,32,Visually dull and narratively confusing.
100151,Velocity Zero 2,2017,Action,South Korea,86,100,"Enjoyable, though slightly predictable at times."
100152,Return of Bronze Age Chronicles,2021,Sci-Fi,USA,74,64,"Enjoyable, though slightly predictable at times."
100153,The Legend of Diamond Dust,2011,Documentary,Spain,84,79,"Enjoyable, though slightly predictable at times."
100154,Escape from Last Train to Paris,2000,Animation,Canada,10,19,Better left for late-night cable TV.
100155,Silver Bullet (2005),2010,Documentary,USA,55,68,Passable entertainment for fans of the genre.
100156,Hidden Truths (2006),2004,Animation,France,61,73,Passable entertainment for fans of the genre.
100157,Shadow of the Colossus (2007),2001,Romance,India,52,61,Passable entertainment for fans of the genre.
100158,The Digital Frontier (2008),2000,Horror,Germany,15,5,Visually dull and narratively confusing.
100159,Ancient Riddles (2009),2007,Horror,UK,35,45,A disappointing mess that fails to find its footing.
100160,Silicon Valley Dreams: The Beginning,2010,Romance,UK,26,25,A disappointing mess that fails to find its footing.
100161,Silver Bullet 2,2017,Fantasy,Spain,85,82,A well-crafted experience that mostly lands.
100162,Return of Under the Moonlight,2005,Romance,South Korea,96,100,A masterclass in filmmaking that resonates deeply.
100163,The Legend of Quantum Leap,2012,Documentary,India,98,100,A masterclass in filmmaking that resonates deeply.
100164,Escape from Cosmic Drift,2001,Romance,France,34,27,A disappointing mess that fails to find its footing.
100165,Platinum Soul (2015),2004,Action,Canada,76,62,Solid performances and a compelling narrative.
100166,Forgotten Memories (2016),2012,Animation,Canada,82,92,"Enjoyable, though slightly predictable at times."
100167,Shadow of the Colossus (2017),2017,Thriller,India,99,94,A modern classic that redefines its genre.
100168,Ancient Riddles (2018),2014,Drama,Canada,31,35,Better left for late-night cable TV.
100169,Platinum Soul (2019),2007,Thriller,UK,91,100,Visually stunning and emotionally gripping.
100170,Starship Avalon: The Beginning,2020,Action,India,66,51,A decent effort with some flashes of brilliance.
100171,Velocity Zero 2,2002,Action,South Korea,38,25,Better left for late-night cable TV.
100172,Return of Cyber City 2077,2015,Documentary,UK,75,86,"Enjoyable, though slightly predictable at times."
100173,The Legend of Velocity Zero,2024,Drama,Germany,73,77,A well-crafted experience that mostly lands.
100174,Escape from Shadow of the Colossus,2010,Horror,Japan,18,15,A disappointing mess that fails to find its footing.
100175,Midnight in Kyoto (2000),2022,Horror,Canada,53,46,Passable entertainment for fans of the genre.
100176,The Last Samurai Rising (2001),2021,Drama,Canada,17,27,Visually dull and narratively confusing.
100177,Diamond Dust (2002),2012,Sci-Fi,Germany,96,100,A modern classic that redefines its genre.
100178,Arctic Chill (2003),2007,Drama,Germany,79,85,A well-crafted experience that mostly lands.
100179,Modern Warfare: The Silent Movie (2004),2014,Drama,France,62,77,A decent effort with some flashes of brilliance.
100180,Ruby Red Skies: The Beginning,2020,Animation,France,75,83,"Enjoyable, though slightly predictable at times."
100181,Deep Sea Secret 2,2023,Horror,UK,42,51,Visually dull and narratively confusing.
100182,Return of Velocity Zero,2023,Animation,USA,98,100,Visually stunning and emotionally gripping.
100183,The Legend of Hidden Truths,2011,Horror,France,21,12,A disappointing mess that fails to find its footing.
100184,Escape from Deep Sea Secret,2002,Documentary,Australia,16,29,Better left for late-night cable TV.
100185,Iron Heart (2010),2021,Fantasy,France,84,88,Solid performances and a compelling narrative.
100186,Bronze Age Chronicles (2011),2002,Horror,Canada,20,34,Visually dull and narratively confusing.
100187,The Emerald Gate (2012),2008,Comedy,France,15,5,A disappointing mess that fails to find its footing.
100188,Midnight in Kyoto (2013),2001,Comedy,South Korea,79,84,A well-crafted experience that mostly lands.
100189,Island Paradise Lost (2014),2019,Animation,Spain,85,84,"Enjoyable, though slightly predictable at times."
100190,Bronze Age Chronicles: The Beginning,2010,Animation,Japan,57,60,Passable entertainment for fans of the genre.
100191,Golden Empire 2,2023,Drama,Germany,68,71,Ambitious but struggles with pacing.
100192,Return of Iron Heart,2017,Fantasy,South Korea,20,26,Visually dull and narratively confusing.
100193,The Legend of Desert Rose,2021,Action,India,60,52,A decent effort with some flashes of brilliance.
100194,Escape from Whispers in the Wind,2017,Romance,Canada,40,53,Better left for late-night cable TV.
100195,Ruby Red Skies (2020),2009,Action,South Korea,86,71,"Enjoyable, though slightly predictable at times."
100196,Beyond the Clouds (2021),2001,Romance,Japan,70,65,A well-crafted experience that mostly lands.
100197,The Emerald Gate (2022),2015,Documentary,Germany,45,39,Better left for late-night cable TV.
100198,Cyber City 2077 (2023),2005,Thriller,UK,96,81,A masterclass in filmmaking that resonates deeply.
100199,Whispers in the Wind (2024),2024,Romance,Canada,33,45,A disappointing mess that fails to find its footing.
100200,Silver Bullet: The Beginning,2000,Animation,UK,29,31,Visually dull and narratively confusing.
100201,Mountain Peak High 2,2001,Comedy,UK,45,57,Better left for late-night cable TV.
100202,Return of Midnight in Kyoto,2022,Documentary,Germany,82,92,"Enjoyable, though slightly predictable at times."
100203,The Legend of Under the Moonlight,2019,Drama,UK,60,57,A decent effort with some flashes of brilliance.
100204,Escape from Velocity Zero,2023,Action,Australia,86,83,A well-crafted experience that mostly lands.
100205,Beyond the Clouds (2005),2002,Animation,Spain,61,70,Passable entertainment for fans of the genre.
100206,Platinum Soul (2006),2018,Thriller,South Korea,38,38,Better left for late-night cable TV.
100207,The Last Samurai Rising (2007),2016,Romance,Spain,87,89,Solid performances and a compelling narrative.
100208,Forgotten Memories (2008),2022,Action,India,25,37,Visually dull and narratively confusing.
100209,Silver Bullet (2009),2006,Sci-Fi,India,15,18,Better left for late-night cable TV.
100210,Parallel Worlds: The Beginning,2024,Documentary,Japan,79,80,"Enjoyable, though slightly predictable at times."
100211,Under the Moonlight 2,2009,Sci-Fi,Canada,92,82,A modern classic that redefines its genre.
100212,Return of The Diamond Heist,2005,Action,USA,44,56,A disappointing mess that fails to find its footing.
100213,The Legend of Iron Heart,2013,Fantasy,Australia,54,50,A decent effort with some flashes of brilliance.
100214,Escape from Parallel Worlds,2015,Thriller,France,46,51,A disappointing mess that fails to find its footing.
100215,Shadow of the Colossus (2015),2005,Action,France,38,30,Better left for late-night cable TV.
100216,Ancient Riddles (2016),2002,Romance,Spain,48,33,A disappointing mess that fails to find its footing.
100217,Shadow of the Colossus (2017),2024,Animation,Japan,56,41,Ambitious but struggles with pacing.
100218,The Last Samurai Rising (2018),2012,Drama,Germany,19,26,Visually dull and narratively confusing.
100219,Deep Sea Secret (2019),2006,Animation,India,71,60,"Enjoyable, though slightly predictable at times."
100220,Arctic Chill: The Beginning,2000,Comedy,South Korea,46,46,A disappointing mess that fails to find its footing.
100221,Cosmic Drift 2,2024,Fantasy,South Korea,67,59,A decent effort with some flashes of brilliance.
100222,Return of Silver Bullet,2004,Animation,Australia,60,75,A decent effort with some flashes of brilliance.
100223,The Legend of Last Train to Paris,2021,Comedy,Australia,13,8,Visually dull and narratively confusing.
100224,Escape from Golden Empire,2022,Horror,South Korea,83,96,"Enjoyable, though slightly predictable at times."
100225,Deep Sea Secret (2000),2007,Comedy,UK,53,48,A decent effort with some flashes of brilliance.
100226,Silicon Valley Dreams (2001),2001,Documentary,France,53,48,A decent effort with some flashes of brilliance.
100227,Cyber City 2077 (2002),2023,Romance,Germany,55,63,Passable entertainment for fans of the genre.
100228,Starship Avalon (2003),2022,Thriller,Australia,45,46,Better left for late-night cable TV.
100229,The Last Samurai Rising (2004),2010,Documentary,Japan,25,31,Visually dull and narratively confusing.
100230,Hidden Truths: The Beginning,2009,Horror,India,27,15,Visually dull and narratively confusing.
100231,Bronze Age Chronicles 2,2017,Thriller,India,16,22,Better left for late-night cable TV.
100232,Return of Golden Empire,2010,Action,France,65,54,A decent effort with some flashes of brilliance.
100233,The Legend of Eternal Sands,2023,Documentary,USA,57,67,Ambitious but struggles with pacing.
100234,Escape from Island Paradise Lost,2009,Animation,France,89,90,A well-crafted experience that mostly lands.
100235,Mountain Peak High (2010),2023,Action,USA,47,48,A disappointing mess that fails to find its footing.
100236,Iron Heart (2011),2024,Sci-Fi,UK,24,39,Visually dull and narratively confusing.
100237,Beyond the Clouds (2012),2023,Sci-Fi,USA,62,76,A decent effort with some flashes of brilliance.
100238,The Emerald Gate (2013),2023,Thriller,UK,16,20,A disappointing mess that fails to find its footing.
100239,Ruby Red Skies (2014),2001,Sci-Fi,USA,69,73,A decent effort with some flashes of brilliance.
100240,Modern Warfare: The Silent Movie: The Beginning,2000,Fantasy,South Korea,67,55,A decent effort with some flashes of brilliance.
100241,Diamond Dust 2,2002,Fantasy,Spain,84,70,"Enjoyable, though slightly predictable at times."
100242,Return of Last Train to Paris,2009,Animation,Spain,42,34,Better left for late-night cable TV.
100243,The Legend of The Diamond Heist,2010,Sci-Fi,Australia,71,66,Solid performances and a compelling narrative.
100244,Escape from Velocity Zero,2011,Comedy,France,91,81,A modern classic that redefines its genre.
100245,Golden Empire (2020),2011,Horror,UK,78,64,"Enjoyable, though slightly predictable at times."
100246,Forgotten Memories (2021),2021,Drama,Australia,32,39,Visually dull and narratively confusing.
100247,Golden Empire (2022),2013,Comedy,Canada,80,69,"Enjoyable, though slightly predictable at times."
100248,Mountain Peak High (2023),2005,Sci-Fi,Spain,89,89,"Enjoyable, though slightly predictable at times."
100249,Under the Moonlight (2024),2005,Romance,France,94,84,A masterclass in filmmaking that resonates deeply.
100250,Diamond Dust: The Beginning,2021,Action,India,14,19,A disappointing mess that fails to find its footing.
100251,Diamond Dust 2,2003,Comedy,USA,85,90,"Enjoyable, though slightly predictable at times."
100252,Return of Velocity Zero,2003,Action,India,49,44,A disappointing mess that fails to find its footing.
100253,The Legend of Cosmic Drift,2017,Fantasy,Spain,96,99,Visually stunning and emotionally gripping.
100254,Escape from Cosmic Drift,2004,Thriller,USA,67,73,A decent effort with some flashes of brilliance.
100255,The Emerald Gate (2005),2011,Romance,UK,38,36,Visually dull and narratively confusing.
100256,Eternal Sands (2006),2017,Animation,USA,58,65,Ambitious but struggles with pacing.
100257,Silver Bullet (2007),2017,Horror,India,89,81,Solid performances and a compelling narrative.
100258,Sapphire Seas (2008),2023,Action,Japan,30,16,A disappointing mess that fails to find its footing.
100259,The Last Samurai Rising (2009),2009,Animation,Canada,83,79,A well-crafted experience that mostly lands.
100260,Forgotten Memories: The Beginning,2024,Animation,USA,70,83,A well-crafted experience that mostly lands.
100261,Ruby Red Skies 2,2006,Drama,Australia,81,96,"Enjoyable, though slightly predictable at times."
100262,Return of Silicon Valley Dreams,2016,Thriller,Germany,34,30,Visually dull and narratively confusing.
100263,The Legend of Silicon Valley Dreams,2005,Drama,France,25,36,A disappointing mess that fails to find its footing.
100264,Escape from Platinum Soul,2011,Thriller,Japan,56,51,Passable entertainment for fans of the genre.
100265,Midnight in Kyoto (2015),2024,Romance,India,65,59,A decent effort with some flashes of brilliance.
100266,The Great Gatsby V2 (2016),2002,Romance,USA,35,23,Better left for late-night cable TV.
100267,Iron Heart (2017),2007,Romance,Japan,82,71,Solid performances and a compelling narrative.
100268,Eternal Sands (2018),2004,Comedy,Spain,14,24,Better left for late-night cable TV.
100269,The Great Gatsby V2 (2019),2002,Drama,Japan,27,31,A disappointing mess that fails to find its footing.
100270,Bronze Age Chronicles: The Beginning,2014,Fantasy,UK,57,53,Ambitious but struggles with pacing.
100271,Eternal Sands 2,2004,Documentary,UK,39,39,Visually dull and narratively confusing.
100272,Return of Deep Sea Secret,2015,Animation,Canada,68,67,Ambitious but struggles with pacing.
100273,The Legend of Bronze Age Chronicles,2012,Horror,France,24,38,Better left for late-night cable TV.
100274,Escape from Eternal Sands,2024,Documentary,France,24,15,A disappointing mess that fails to find its footing.
100275,Hidden Truths (2000),2003,Fantasy,South Korea,77,86,A well-crafted experience that mostly lands.
100276,Midnight in Kyoto (2001),2019,Sci-Fi,India,19,18,Visually dull and narratively confusing.
100277,Under the Moonlight (2002),2010,Fantasy,France,15,29,Visually dull and narratively confusing.
100278,Mountain Peak High (2003),2004,Comedy,UK,25,33,Better left for late-night cable TV.
100279,Platinum Soul (2004),2021,Fantasy,India,59,46,A decent effort with some flashes of brilliance.
100280,Forgotten Memories: The Beginning,2010,Drama,India,50,52,Passable entertainment for fans of the genre.
100281,Forgotten Memories 2,2017,Fantasy,Spain,10,13,Visually dull and narratively confusing.
100282,Return of Modern Warfare: The Silent Movie,2022,Horror,Australia,52,62,Passable entertainment for fans of the genre.
100283,The Legend of Quantum Leap,2003,Animation,Japan,98,98,Visually stunning and emotionally gripping.
100284,Escape from Shadow of the Colossus,2020,Action,Germany,87,94,"Enjoyable, though slightly predictable at times."
100285,Eternal Sands (2010),2020,Comedy,South Korea,39,49,Better left for late-night cable TV.
100286,Last Train to Paris (2011),2013,Animation,South Korea,79,65,A well-crafted experience that mostly lands.
100287,Quantum Leap (2012),2013,Thriller,USA,47,37,Visually dull and narratively confusing.
100288,Ancient Riddles (2013),2010,Sci-Fi,India,49,54,Better left for late-night cable TV.
100289,Island Paradise Lost (2014),2017,Action,USA,87,94,"Enjoyable, though slightly predictable at times."
100290,The Diamond Heist: The Beginning,2023,Romance,Australia,94,100,A masterclass in filmmaking that resonates deeply.
100291,Whispers in the Wind 2,2022,Sci-Fi,USA,93,100,Visually stunning and emotionally gripping.
100292,Return of Deep Sea Secret,2021,Fantasy,France,78,92,"Enjoyable, though slightly predictable at times."
100293,The Legend of The Ghost Ship,2001,Romance,Australia,27,15,Visually dull and narratively confusing.
100294,Escape from Deep Sea Secret,2015,Action,Australia,37,51,Better left for late-night cable TV.
100295,Bronze Age Chronicles (2020),2015,Comedy,Canada,98,100,A masterclass in filmmaking that resonates deeply.
100296,Island Paradise Lost (2021),2021,Sci-Fi,Canada,51,39,Ambitious but struggles with pacing.
100297,Arctic Chill (2022),2008,Thriller,USA,46,50,A disappointing mess that fails to find its footing.
